,player,targets,rec,rec_yds,rec_td,rec_long,rec_air_yds,rec_yac,rec_drops
732,Salvon Ahmed,33,23,178,0,130,43.7,184,5
733,Samaje Perine,70,59,432,3,295,19.700000000000003,476,4
734,Sammy Watkins,219,135,1841,7,901,2262.6,660,14
735,Samori Toure,5,2,41,1,41,73.2,0,0
736,Saquon Barkley,174,127,950,4,587,152.4,1012,13
737,Scott Miller,125,72,957,5,615,1881.5,177,4
738,Scott Simonson,2,2,11,0,11,8.0,3,0
739,Scottie Phillips,4,3,16,0,15,5.1,11,0
740,Sean Culkin,2,1,12,0,12,19.0,0,1
741,Sean McKeon,7,5,37,1,34,30.0,17,0
742,Senorise Perry,1,1,1,0,1,-1.0,2,0
743,Seth Devalve,19,12,140,0,81,139.2,61,1
744,Seth Roberts,45,27,332,2,217,437.5,95,1
745,Seth Williams,1,1,34,0,34,30.0,4,0
746,Shane Zylstra,7,3,34,0,30,38.0,6,0
747,Shi Smith,32,14,209,0,146,272.8,110,3
748,Simi Fehoko,4,3,24,0,19,50.9,10,0
749,Siran Neal,1,1,13,0,13,10.0,3,0
750,Skyy Moore,12,6,100,0,78,88.0,64,0
751,Sony Michel,80,54,390,2,286,-0.10000000000000142,401,7
752,Spencer Brown,1,0,0,0,0,42.0,0,1
753,Spencer Ware,7,5,22,0,15,2.0,15,0
754,Stanley Morgan Jr.,15,5,29,0,29,89.0,30,0
755,Stefon Diggs,546,378,5108,34,1872,6378.0,1465,22
756,Stephen Anderson,31,25,273,1,184,112.5,195,0
757,Stephen Carlson,9,6,62,1,55,51.0,32,0
758,Stephen Sullivan,4,2,46,0,46,22.0,21,1
759,Sterling Shepard,250,172,1752,8,668,2196.3,549,9
760,Steven Mitchell,14,7,97,0,58,211.0,24,0
761,Steven Sims,100,66,607,6,350,683.0,304,7
762,T.J. Hockenson,287,186,2068,15,896,2113.1,937,13
763,T.J. Jones,4,3,38,1,28,30.0,23,0
764,T.J. Logan,3,2,13,0,13,30.0,9,0
765,T.J. Yeldon,24,18,187,1,98,45.0,147,2
766,T.Y. Hilton,203,126,1626,13,817,2396.6,487,7
767,Taiwan Jones,5,3,57,0,57,42.0,59,1
768,Tajae Sharpe,81,51,565,4,332,1039.4,129,1
769,Tanner Conner,3,0,0,0,0,20.0,0,2
770,Tanner Gentry,1,0,0,0,0,7.0,0,0
771,Tanner Hudson,24,11,165,0,127,268.1,63,2
772,Tarik Black,2,1,10,0,10,18.0,0,1
773,Tarik Cohen,113,85,497,3,249,197.2,490,10
774,Tavon Austin,66,42,410,2,267,605.7,186,2
775,Taylor Decker,2,2,4,1,4,3.0,1,0
776,Taylor Gabriel,48,29,353,4,201,556.2,79,3
777,Taylor Heinicke,1,1,-2,0,-2,-4.0,2,0
778,Taysom Hill,48,38,430,9,355,240.8,257,2
779,Taywan Taylor,2,0,0,0,0,48.0,0,0
780,Ted Ginn Jr.,64,34,479,2,331,1077.2,58,7
781,Tee Higgins,298,193,2812,17,1125,3439.2,904,17
782,Temarrick Hemingway,2,1,10,0,10,7.0,6,0
783,Terence Steele,1,1,1,1,1,1.0,0,0
784,Terrace Marshall Jr.,47,27,286,0,149,391.5,118,1
