,player,targets,rec,rec_yds,rec_td,rec_long,rec_air_yds,rec_yac,rec_drops
194,Dane Cruikshank,1,0,0,0,0,30.0,0,0
195,Daniel Bellinger,18,16,152,2,82,55.0,97,0
196,Daniel Brown,15,11,132,1,119,128.0,64,1
197,Daniel Helm,2,1,-1,0,-1,1.0,2,0
198,Daniel Jones,1,1,16,0,16,13.0,3,0
199,Danny Amendola,204,132,1528,4,707,1735.8,602,5
200,Danny Gray,6,0,0,0,0,154.0,0,1
201,Danny Pinter,1,1,2,1,2,2.0,0,0
202,Danny Vitale,12,7,97,0,69,82.1,56,1
203,Dante Pettis,65,35,427,6,277,606.1,117,7
204,Dare Ogunbowale,95,64,508,1,311,183.1,425,7
205,Darius Bradwell,1,0,0,0,0,1.0,0,1
206,Darius Jennings,6,2,17,0,17,80.0,14,0
207,Darius Slayton,262,140,2062,14,978,3506.3,458,16
208,Darnell Mooney,282,167,2050,8,967,3267.9,749,12
209,Darrel Williams,122,91,779,3,479,48.9,838,6
210,Darrell Daniels,21,12,98,1,83,102.9,70,2
211,Darrell Henderson,95,68,502,4,348,130.1,494,4
212,Darren Fells,93,66,755,12,446,558.6,398,7
213,Darren Sproles,10,6,24,0,13,14.9,25,3
214,Darren Waller,391,275,3257,15,1141,3290.1,1447,16
215,Darrius Shepherd ,10,6,47,0,45,128.1,21,0
216,Darrynton Evans,6,4,38,1,30,-6.0,44,0
217,Darwin Thompson,22,16,108,1,63,-45.1,150,3
218,Daurice Fountain,3,2,23,0,12,28.0,0,0
219,Davante Adams,571,403,4957,43,1570,5477.6,1961,15
220,David Bell,11,9,100,0,72,106.0,27,1
221,David Blough,1,1,19,1,19,14.0,5,0
222,David Johnson,135,101,909,7,454,427.3,648,5
223,David Long,1,0,0,0,0,4.0,0,0
224,David Montgomery,169,134,1059,3,587,201.9,965,8
225,David Moore,88,55,776,8,581,995.7,344,4
226,David Njoku,140,99,1213,8,637,1011.0,612,7
227,David Quessenberry,1,1,1,1,1,1.0,0,0
228,David Sills,23,13,123,0,99,191.1,42,2
229,Davion Davis,3,1,17,0,17,17.0,13,0
230,Dawson Knox,212,136,1598,20,900,1640.0,709,19
231,Dax Milne,20,14,114,0,104,141.0,45,0
232,Dazz Newsome,5,2,23,0,23,36.0,15,0
233,De'Anthony Thomas,2,1,6,0,6,-1.0,3,1
234,De'Michael Harris,10,10,79,0,49,15.8,63,0
235,DeAndre Carter,90,56,692,4,425,912.3,204,3
236,DeAndre Hopkins,423,298,3614,22,1223,4285.6,1135,11
237,DeAndre Washington,51,41,322,0,196,79.9,269,2
238,DeAndrew White,9,4,51,0,38,133.1,28,0
239,DeSean Jackson,67,40,831,5,557,1217.1,245,5
240,DeVante Parker,332,190,2831,16,1060,4110.7,618,16
241,DeVonta Smith,166,106,1396,7,567,1979.2,447,4
242,Dede Westbrook,117,77,732,3,333,748.3,334,3
243,DeeJay Dallas,43,38,246,1,146,37.8,225,1
244,Deebo Samuel,323,214,3227,13,1448,2113.3,2129,30
245,Delanie Walker,31,21,215,2,92,233.29999999999998,66,2
246,Demarcus Robinson,200,126,1455,11,767,2059.4,456,8
247,Demaryius Thomas,58,36,433,1,207,559.9,170,5
248,Demetric Felton,23,19,184,2,132,18.200000000000003,207,1
249,Demetrius Harris,47,25,204,3,146,283.9,106,7
250,Dennis Houston,6,2,16,0,11,79.0,6,0
251,Dennis Kelly,2,2,2,2,2,2.0,0,0
252,Denzel Mims,72,34,570,0,356,1000.8,207,4
253,Deon Cain,20,9,124,0,110,226.9,22,1
254,Deon Jackson,14,14,108,0,43,-13.0,121,0
255,Deon Lacey,1,0,0,0,0,30.0,0,0
256,Deon Yelder,17,12,97,0,80,93.8,74,0
257,Deontay Burnett,9,6,72,0,56,108.2,10,0
258,Deonte Harris,99,71,912,4,564,747.8,467,4
259,Deonte Harty,2,2,13,0,13,5.0,8,0
260,Derek Carrier,22,16,135,1,106,168.2,75,1
261,Derek Watt,12,9,54,1,53,11.0,49,1
262,Derrick Gore,9,8,105,0,87,11.0,90,0
263,Derrick Henry ,101,77,646,2,482,-77.8,692,7
264,Derrius Guice,9,7,79,1,63,-2.9,86,1
265,Deshaun Watson,1,1,6,1,6,0.0,6,0
266,Devin Asiasi,8,2,39,1,26,91.0,6,1
267,Devin Duvernay,105,77,786,5,480,778.3,368,1
268,Devin Funchess,5,3,32,0,16,49.0,6,1
269,Devin Singletary,196,151,1032,4,601,128.1,1033,15
270,Devin Smith,10,5,113,1,84,198.1,32,0
271,Devine Ozigbo,15,13,72,0,41,13.100000000000001,62,1
272,Devonta Freeman,122,100,658,5,285,106.9,592,4
273,Devontae Booker,75,63,409,1,280,39.3,414,3
274,Dez Bryant,13,6,47,2,35,70.9,34,1
275,Dez Fitzpatrick,8,5,49,1,32,109.0,3,0
276,Dezmon Patmon,10,4,45,1,38,109.2,10,1
277,Dion Dawkins,2,1,1,1,1,2.0,0,0
278,Dion Lewis,64,46,305,2,246,30.9,285,4
279,Diontae Johnson,507,313,3287,21,1284,4469.7,1347,31
280,Diontae Spencer,18,10,54,0,56,91.0,45,1
281,Dominique Dafney,8,4,60,1,60,60.0,41,0
282,Donald Parham,51,33,402,6,271,350.8,202,2
283,Donovan Peoples-Jones,127,80,1349,5,749,1767.0,303,5
284,Donte Moncrief,17,5,33,0,29,207.0,17,4
285,Dontrell Hilliard,62,48,338,3,218,17.9,348,6
286,Dontrelle Inman,49,30,344,2,210,505.2,86,3
287,Drake London,49,30,346,2,154,492.2,110,1
288,Drew Lock,1,1,1,0,1,-5.0,6,0
289,Drew Sample,78,59,462,1,243,305.9,296,4
290,Duke Johnson,113,84,753,4,414,237.1,684,4
291,Duke Williams,29,16,215,1,101,362.2,55,3
292,Durham Smythe,91,73,680,2,426,545.5,312,3
293,Dwayne Harris,1,1,7,0,7,0.0,7,0
294,Dwayne Washington,3,3,18,0,18,-3.0,21,0
295,Dyami Brown,34,15,276,2,212,610.4,65,1
296,Easop Winston,1,1,5,0,5,-4.0,9,0
297,Elandon Roberts,1,1,38,1,38,7.0,31,0
298,Elijah Mitchell,29,26,194,1,95,-8.7,208,1
299,Elijah Moore,107,59,741,5,338,1303.3,258,3
300,Elijhaa Penny,20,13,59,1,56,-8.0,72,0
301,Emmanuel Sanders,270,182,2357,15,1073,2985.7,517,8
302,Eno Benjamin,41,31,237,0,145,-52.5,291,3
303,Equanimeous St. Brown,56,29,416,2,322,659.1,173,4
304,Eric Ebron,172,106,1079,10,540,1311.0,404,15
305,Eric Fisher,1,1,2,1,2,1.0,1,0
306,Eric Saubert,33,20,167,2,129,219.9,81,3
307,Eric Tomlinson,8,5,45,0,37,74.0,22,0
308,Ethan Wolf,2,2,8,0,4,2.0,6,0
309,Evan Engram,295,185,1859,8,846,1870.5,875,22
310,Ezekiel Elliott,219,160,1077,6,583,37.5,1093,17
311,Feleipe Franks,2,0,0,0,0,56.0,0,0
312,Foster Moreau,99,69,753,10,515,641.3,388,5
313,Frank Darby,4,1,14,0,14,83.1,11,1
314,Frank Gore,36,29,189,0,146,47.1,161,2
315,Fred Brown,3,2,21,0,21,34.0,0,1
316,Freddie Swain,60,38,498,5,409,549.0,306,2
317,Gabe Nabers,10,8,42,2,39,15.0,31,2
318,Gabriel Davis,182,100,1893,22,1007,2724.5,430,13
319,Gardner Minshew II,1,1,0,0,0,-8.0,8,0
320,Garrett Bradbury,3,3,19,0,19,-4.0,23,0
321,Garrett Griffin,4,4,39,0,23,12.0,27,0
322,Garrett Wilson,59,34,429,2,195,487.3,168,4
323,Gary Brightwell,1,1,6,0,6,1.0,5,0
324,Gehrig Dieter,2,1,10,0,10,15.0,5,0
325,Geoff Swaim,79,61,406,5,248,320.1,246,4
326,George Fant,1,0,0,0,0,14.0,0,0
327,George Kittle,323,243,3059,16,1157,2252.2,1576,11
328,George Pickens,43,26,338,1,162,592.9,52,1
329,Gerald Everett,223,148,1571,8,764,1506.0,795,15
330,Geremy Davis,3,3,38,0,32,36.0,2,0
331,Geronimo Allison,61,37,306,2,190,465.09999999999997,111,5
332,Giovani Bernard,139,105,751,6,497,140.0,719,8
333,Giovanni Ricci,8,5,58,0,43,50.1,38,0
334,Godwin Igwebuike,10,7,60,0,40,15.1,64,2
335,Golden Tate,137,84,1064,8,582,1257.5,366,4
336,Grant Calcaterra,1,1,40,0,40,18.0,22,0
337,Greg Dortch,31,27,236,2,116,117.39999999999999,159,0
338,Greg Dulcich,17,12,182,1,93,223.5,72,1
339,Greg Olsen,119,76,836,3,361,1026.4,250,5
340,Greg Ward,134,91,792,10,400,830.3,282,4
341,Gunner Olszewski,12,9,127,1,120,80.1,65,0
342,Gus Edwards,21,16,174,0,153,51.1,138,0
343,Hakeem Butler,1,0,0,0,0,3.0,0,0
344,Hale Hentges,14,8,103,1,59,106.0,47,2
345,Harrison Bryant,88,59,585,6,386,719.3,236,7
346,Hassan Haskins,2,2,5,0,5,-7.0,12,0
347,Hayden Hurst,207,149,1462,14,777,1416.9,613,6
348,Henry Ruggs III,79,50,921,4,545,1356.5,254,5
349,Hunter Bryant,3,1,44,0,44,67.0,12,0
350,Hunter Henry,272,181,2088,19,914,2490.9,602,8
351,Hunter Long,3,1,8,0,8,10.0,4,0
352,Hunter Renfrow,309,231,2483,14,1058,2042.9,1198,8
353,Ian Thomas,109,66,589,2,431,650.7,351,10
354,Ihmir Smith-Marsette,10,6,131,2,72,155.9,22,1
355,Irv Smith Jr.,126,91,883,9,470,794.9,362,4
356,Isaac Nauta,5,3,16,0,16,7.0,8,1
357,Isaiah Coulter,1,0,0,0,0,22.0,0,0
358,Isaiah Ford,96,63,681,2,302,811.2,214,2
359,Isaiah Hodgins,6,4,41,0,26,43.8,19,0
360,Isaiah Likely,25,16,181,1,99,149.9,92,1
361,Isaiah McKenzie,138,106,969,11,615,675.9,601,8
362,Isaiah Wright,36,27,197,0,101,150.9,143,2
363,Isaiah Zuber,2,2,29,0,29,-1.0,30,0
364,Ishmael Hyman,4,2,34,0,34,58.1,1,1
365,Isiah Pacheco,2,2,9,0,12,-9.0,18,0
366,Ito Smith,40,28,162,0,94,25.199999999999996,153,1
367,J.D. McKissic,243,181,1374,4,596,269.8,1250,4
368,J.J. Taylor,6,5,12,0,13,-9.0,18,1
369,J.K. Dobbins,36,28,204,1,141,37.599999999999994,186,6
370,J.P. Holtz,9,7,91,0,65,22.0,79,1
371,JJ Arcega-Whiteside,35,16,290,1,248,528.0,56,5
372,JJ Nelson,5,4,36,1,29,26.0,15,0
373,Ja'Marcus Bradley,15,9,124,0,69,174.5,27,0
374,Ja'Marr Chase,237,153,2428,20,965,2615.9,1095,18
375,Jace Sternberger,19,15,129,2,81,125.2,72,2
376,Jack Doyle,157,102,1071,11,554,1083.1,442,7
377,Jack Stoll,9,6,47,0,45,31.9,39,0
378,Jacob Hollister,128,82,676,7,344,776.4,300,6
379,Jacoby Brissett,1,1,2,0,2,0.0,2,0
380,Jaeden Graham,15,12,174,1,145,104.0,87,1
381,Jaelon Darden,14,8,69,0,66,166.0,40,0
382,Jahan Dotson,22,12,152,4,102,330.0,22,1
383,Jake Butt,4,2,5,0,5,7.0,2,1
384,Jake Ferguson,12,9,68,2,45,69.1,26,0
385,Jake Gervase,1,1,12,0,12,6.0,6,0
386,Jake Kumerow,36,20,356,2,292,513.3,116,2
387,Jake Tonges,1,0,0,0,0,13.0,0,0
388,Jakeem Grant,104,66,669,3,389,1053.1,362,6
389,Jakob Johnson,19,15,89,1,78,34.0,60,1
390,Jakobi Meyers,303,209,2409,5,981,2974.0,680,12
391,Jaleel Scott,4,2,22,0,22,52.0,9,0
392,Jalen Guyton,109,61,1023,6,719,1588.8,335,9
393,Jalen Hurts,2,1,3,0,3,-3.0,9,0
394,Jalen Nailor,1,1,13,0,13,13.0,0,0
395,Jalen Reagor,119,68,707,4,443,1259.3,362,5
396,Jalen Richard,81,67,532,0,361,141.3,405,4
397,Jalen Tolbert,2,1,4,0,4,38.0,1,0
398,Jamaal Williams,128,112,735,6,366,22.4,739,7
399,Jamal Agnew,72,45,394,3,227,528.2,273,4
400,James Conner,146,126,979,6,488,-32.1,1062,8
401,James Cook,8,5,78,0,52,34.0,50,1
402,James Mitchell,1,1,14,0,14,0.0,14,0
403,James O'Shaughnessy,92,66,659,2,380,617.4,292,3
404,James Proche,29,21,247,0,130,263.4,66,0
405,James Robinson,118,89,612,4,320,6.799999999999995,656,6
406,James Washington,189,105,1521,11,838,2613.4,428,11
407,James White,176,138,1176,6,573,240.5,1068,6
408,Jamison Crowder,295,194,2039,14,861,2132.6,891,13
409,Jamize Olawale,2,0,0,0,0,35.0,0,0
410,Jamycal Hasty,47,36,215,0,157,16.800000000000004,214,2
411,Jared Cook,227,142,1895,20,972,2195.5,660,12
412,Jared Goff,1,1,5,0,5,0.0,5,0
413,Jaret Patterson,11,10,73,0,38,-3.0,75,0
414,Jarius Wright,58,28,296,0,212,611.0,93,8
415,Jaron Brown,28,16,220,2,149,250.3,65,2
416,Jarvis Landry,365,234,2864,13,1119,3163.3,1155,14
417,Jason Cabinda,10,6,24,1,22,2.0,14,2
418,Jason Croom,1,1,3,1,3,3.0,0,0
419,Jason Huntley,3,1,0,0,0,-1.0,1,0
420,Jason Moore,11,6,104,0,61,203.0,32,0
421,Jason Sanders,1,1,1,1,1,1.0,0,0
422,Jason Witten,100,76,598,6,266,644.2,182,6
423,Jauan Jennings,71,44,505,5,308,573.9,218,12
424,Javon Wims,55,25,262,2,181,742.0,51,4
425,Javonte Williams,73,57,384,3,214,-32.6,449,4
426,Javorius Allen,2,1,9,0,9,11.0,4,0
427,Jay Ajayi,1,0,0,0,0,1.0,0,1
428,Jaydon Mickens,13,9,68,0,32,131.2,34,0
429,Jaylen Samuels,75,59,365,1,201,-52.2,439,9
430,Jaylen Waddle,203,146,1742,11,650,1622.1,721,12
431,Jaylen Warren,14,12,88,0,45,-14.9,99,2
432,Jeff Badet,1,0,0,0,0,25.0,0,0
433,Jeff Driskel,1,1,6,0,6,-3.0,9,0
434,Jeff Heuerman,20,14,114,1,77,108.1,42,0
435,Jeff Smith,61,29,343,0,231,762.2,92,3
436,Jeff Wilson,54,33,289,4,206,92.1,237,7
437,Jelani Woods,10,6,77,3,66,126.1,21,1
438,Jerald Hawkins,1,0,0,0,0,0.0,0,0
439,Jeremy McNichols,55,40,295,1,173,12.6,299,3
440,Jeremy Ruckert,1,0,0,0,0,0.0,0,1
441,Jeremy Sprinkle,47,31,286,1,215,278.6,119,5
442,Jerick McKinnon,100,73,641,4,358,122.8,632,5
443,Jermar Jefferson,5,4,23,0,11,1.0,21,0
444,Jerry Jeudy,219,117,1712,6,886,2702.9,665,14
445,Jesper Horsted,17,13,127,3,95,122.2,36,1
446,Jesse James,57,37,333,3,258,312.9,159,2
447,Jimmy Graham,170,111,1203,15,677,1347.5,548,4
448,Jody Fortson,3,2,18,1,18,19.0,5,0
449,Joe Fortson,7,6,48,3,46,40.0,9,0
450,Joe Haeg,1,0,0,0,0,2.0,0,0
451,Joe Mixon,185,150,1060,8,646,-103.39999999999999,1206,7
452,Joe Reed,1,0,0,0,0,-9.0,0,0
453,John Bates,39,29,313,1,213,199.3,169,2
454,John Brown,197,119,1654,9,682,2720.5,415,10
455,John Hightower,29,10,167,0,141,655.2,57,3
456,John Ross,83,41,747,4,426,1272.9,240,10
457,John Ursua,1,1,11,0,11,11.0,0,0
458,Johnny Holton,15,3,21,0,23,381.3,10,0
459,Johnny Mundt,26,21,164,1,115,53.900000000000006,123,3
460,Johnny Stanton,2,2,7,1,7,3.0,4,0
461,Jon Hilliman,4,3,1,0,9,-1.0,10,0
462,Jonathan Taylor,119,94,736,3,465,-120.3,866,8
463,Jonathan Ward,5,4,45,1,45,9.0,41,0
464,Jonathan Williams,15,13,108,0,92,-21.0,123,0
465,Jonnu Smith,186,125,1382,13,842,1013.4,885,10
466,Jordan Akins,151,108,1194,4,668,1037.7,591,10
467,Jordan Howard,21,14,92,1,73,1.6999999999999993,94,2
468,Jordan Matthews,12,4,33,0,16,175.2,7,0
469,Jordan Reed,46,26,231,4,119,370.2,84,3
470,Jordan Thomas,6,3,18,1,18,21.1,12,0
471,Jordan Wilkins,27,19,148,0,137,1.9000000000000004,175,2
472,Josh Adams,8,6,29,0,23,1.0,24,0
473,Josh Allen,2,2,28,2,28,7.0,21,0
474,Josh Bellamy,3,2,20,0,20,23.0,10,1
475,Josh Gordon,62,32,458,2,294,684.6,147,4
476,Josh Hill,49,36,272,4,197,213.9,200,1
477,Josh Jacobs,164,132,953,0,516,-30.5,1030,11
478,Josh Malone,6,4,16,0,13,16.8,8,1
479,Josh Oliver,29,17,114,1,88,201.9,41,2
480,Josh Palmer,89,59,593,5,337,736.5,209,4
481,Josh Reynolds,219,131,1762,7,842,2572.0,596,11
482,Joshua Kelley,39,35,242,0,176,-11.8,266,1
483,Joshua Perkins,13,9,87,1,37,124.0,26,0
484,Josiah Deguara,43,32,322,2,237,167.1,262,4
485,JuJu Smith-Schuster,301,206,2189,15,915,2156.5,1074,12
486,Julian Edelman,197,124,1462,6,511,1893.9,392,17
487,Julio Jones,291,193,2758,11,1033,3497.6,755,9
488,Justice Hill,30,21,135,0,98,36.9,156,0
489,Justin Hardee,1,0,0,0,0,10.0,0,0
490,Justin Hardy,26,19,195,0,130,199.1,81,2
491,Justin Herbert,1,1,-8,0,-8,-8.0,0,0
492,Justin Jackson,63,52,377,1,223,-11.199999999999996,431,4
493,Justin Jefferson,363,248,3768,19,1266,4075.4,1278,10
494,Justin Watson,46,26,317,4,183,581.3,44,3
495,Juwan Johnson,66,38,414,6,296,574.0,135,2
496,Juwann Winfree,17,9,75,0,53,127.0,36,2
497,K.J. Hill,14,10,103,0,78,96.9,30,2
498,K.J. Osborn,113,71,840,9,461,1109.0,234,3
499,KJ Hamler,80,42,620,3,421,1151.0,163,8
500,KaVontae Turpin,1,0,0,0,0,9.0,0,0
501,Kadarius Toney,60,41,420,0,127,331.4,234,3
502,Kaden Smith,66,52,413,3,246,296.2,191,1
503,Kahale Warring,7,3,35,0,26,58.1,8,1
504,Kaleb McGary,1,1,-3,0,-3,-3.0,0,0
505,Kalen Ballage,68,45,237,0,163,-25.6,310,8
506,Kalif Raymond,125,84,1216,6,708,1595.6,377,5
507,Kareem Hunt,147,118,895,7,466,101.0,873,10
508,Ke'Shawn Vaughn,21,11,69,1,44,35.9,47,5
509,Keaontay Ingram,2,2,23,0,24,-4.0,27,0
510,KeeSean Johnson,65,36,360,1,237,616.3,93,4
511,Keelan Cole,183,110,1494,9,826,2166.0,383,9
512,Keelan Doss,14,11,133,0,92,123.9,57,1
513,Keenan Allen,459,316,3406,20,1068,3926.7,1168,18
514,Keion Crossen,1,0,0,0,0,13.0,0,0
515,Keith Kirkwood,11,6,48,0,38,100.0,30,1
516,Keith Smith,30,22,136,0,95,72.0,103,2
517,Keke Coutee,77,56,659,3,319,654.8,288,1
518,Kelvin Harmon,44,30,365,0,230,501.9,94,2
519,Kendall Blanton,16,13,147,1,97,73.9,92,2
520,Kendall Hinton,30,21,283,1,240,298.1,87,1
521,Kendall Lamm,1,1,1,1,1,1.0,0,0
522,Kendrick Bourne,217,156,2104,15,1147,1962.9,787,13
523,Kene Nwangwu,5,4,9,0,12,-6.1,19,0
524,Kenjon Barner,9,6,22,0,26,-3.0,27,1
525,Kenneth Gainwell,64,43,331,2,175,95.1,312,6
526,Kenneth Walker III,12,9,28,0,12,-13.8,45,1
527,Kenny Golladay,230,124,2071,13,923,3262.4,470,12
528,Kenny Stills,108,64,899,7,515,1390.8,214,7
529,Kenny Yeboah,3,2,36,0,24,48.0,3,1
530,Kenyan Drake,148,112,802,2,460,-26.400000000000006,898,5
531,Kerrith Whyte Jr,1,1,9,0,9,-2.0,11,0
532,Kerryon Johnson,41,29,314,2,202,66.5,299,4
533,Kevin Byard,1,1,11,0,11,3.0,8,0
534,Kevin Rader,4,2,8,0,8,12.0,4,1
535,Kevin White,7,2,102,0,102,167.0,71,1
536,KhaDarel Hodge,66,36,541,0,379,861.9,128,4
537,Khalil Herbert,23,20,158,1,121,-19.1,174,1
538,Khalil Shakir,13,6,112,1,59,133.0,60,2
539,Khari Blasingame,13,10,97,0,74,26.0,71,3
540,Kirk Cousins,1,0,0,0,0,12.0,0,0
541,Kirk Merritt,3,1,13,0,13,56.1,6,1
542,Ko Kieft,3,3,46,0,46,34.0,12,0
543,Krishawn Hogan,1,1,4,0,4,2.0,2,0
544,Kristian Wilkerson,8,4,42,2,20,132.0,5,1
545,Kyle Juszczyk,109,82,905,6,624,671.5,527,4
546,Kyle Philips,13,8,78,0,33,99.7,21,1
547,Kyle Pitts,149,89,1284,3,591,1628.8,409,8
548,Kyle Rudolph,138,101,1013,9,594,896.6,514,0
549,Kylen Granson,41,31,282,0,194,188.2,164,1
550,Kylin Hill,2,1,5,0,5,3.0,7,0
551,La'Mical Perine,15,11,63,0,49,25.9,67,1
552,Lamar Miller,2,2,6,0,7,2.0,4,0
553,Lance Kendricks,7,3,50,0,37,74.0,7,0
554,Lane Johnson,1,1,5,1,5,5.0,0,0
555,Laquon Treadwell,74,48,667,4,399,838.2,196,5
556,Larry Fitzgerald,181,129,1213,5,481,1281.9,538,1
557,Larry Rountree,2,1,-1,0,-1,-1.0,0,1
558,Latavius Murray,93,75,519,3,350,-107.2,614,6
559,Laviska Shenault Jr.,188,129,1343,6,661,1058.0,819,11
560,Lawrence Cager,8,2,35,0,19,120.0,14,0
561,Le'Veon Bell,108,87,629,2,315,80.1,602,4
562,LeSean McCoy,53,43,282,1,179,-5.600000000000001,338,3
563,LeVante Bellamy,1,1,5,0,5,0.0,5,0
564,Lee Smith,23,18,139,4,123,93.1,67,1
565,Leonard Fournette,303,245,1686,6,736,29.599999999999994,1767,23
566,Levine Toilolo,8,7,56,0,56,23.0,39,0
567,Lil'Jordan Humphrey,29,19,329,3,248,290.0,137,1
568,Logan Thomas,186,121,1188,11,556,1442.9,499,7
569,Luke Farrell,12,8,67,0,67,71.0,41,1
570,Luke Stocker,27,17,128,0,125,87.1,94,3
571,Luke Willson,14,10,99,0,81,83.9,49,0
572,Lynn Bowden Jr.,37,28,211,0,66,184.6,112,0
573,Mack Hollins,116,66,905,7,474,1477.5,209,5
574,Malcolm Brown,47,31,214,0,165,-12.0,219,4
575,Malcolm Perry,13,9,92,1,73,114.0,33,1
576,Malik Davis,2,2,18,0,10,1.0,17,0
577,Malik Taylor,9,7,80,1,72,70.0,55,0
578,Malik Turner,42,28,400,4,307,459.7,178,3
579,Marcedes Lewis,71,55,521,5,368,334.1,316,4
580,Marcell Ateman,10,5,116,0,90,127.8,19,1
581,Marcus Baugh,1,1,2,0,2,0.0,2,0
582,Marcus Johnson,96,46,755,2,413,1365.0,213,6
583,Marcus Kemp,6,3,35,0,35,63.0,18,1
584,Mark Andrews,427,283,3510,31,1329,4374.6,1108,21
585,Mark Ingram,86,71,514,5,328,43.1,493,1
586,Mark Walton,21,15,89,0,43,-9.8,92,1
587,Marlon Mack,25,19,120,0,88,10.1,115,1
588,Marqise Lee,4,3,18,0,18,18.0,5,0
589,Marquez Callaway,137,79,1039,7,546,1597.4,232,6
590,Marquez Valdes-Scantling,227,116,2097,12,1198,3794.8,696,12
591,Marquise Brown,408,256,3168,24,1351,4807.3,1122,17
592,Marquise Goodwin,81,46,678,4,408,937.0,188,4
593,Marshawn Lynch,3,2,25,0,20,-2.1,23,0
594,Marvin Hall,44,26,573,3,483,857.6,99,4
595,Marvin Jones,367,233,2854,23,1071,4622.0,485,13
596,Mason Kinsey,1,1,3,0,3,3.0,0,0
597,Mason Schreck,3,2,6,0,6,8.0,0,1
598,Matt Breida,49,41,342,3,282,30.9,327,1
599,Matt LaCosse,19,13,131,1,111,134.3,46,2
600,Matt Nelson,1,0,0,0,0,6.0,0,0
601,Matthew Stafford,2,0,0,0,0,20.0,0,0
602,Maurice Alexander,1,1,7,0,7,3.0,4,0
603,Maxx Williams,46,39,497,3,346,265.1,295,1
604,Mecole Hardman,238,164,2223,17,1408,2062.2,1375,12
605,Mekhi Sargent,1,0,0,0,0,-4.0,0,1
606,Melvin Gordon,157,117,801,4,504,-16.000000000000007,795,12
607,Michael Bandy,10,4,48,0,24,113.0,6,1
608,Michael Burton,13,10,76,0,70,-4.0,73,2
609,Michael Carter,86,60,511,0,252,45.6,540,5
610,Michael Crabtree,5,4,22,0,15,26.1,5,0
611,Michael Deiter,1,1,0,0,0,0.0,0,0
612,Michael Gallup,303,172,2530,14,1072,3588.9,734,22
613,Michael Pittman Jr.,270,184,2203,8,829,2274.9,917,10
614,Michael Thomas,281,217,2477,13,659,2414.2,723,8
615,Michael Walker,3,2,15,0,15,12.0,7,0
616,Michael Woods II,4,2,21,0,21,68.0,8,0
617,Mike Boone,20,13,110,0,92,12.8,131,3
618,Mike Davis,136,110,654,3,326,-80.7,751,4
619,Mike Evans,448,278,4215,42,1646,6090.7,1004,17
620,Mike Gesicki,316,198,2288,17,1047,3158.4,622,7
621,Mike Remmers,1,1,-2,0,-2,0.0,-2,0
622,Mike Strachan,11,5,85,0,59,149.1,13,0
623,Mike Thomas,47,23,253,1,204,466.9,83,4
624,Mike Williams,363,210,3398,19,1603,5030.2,952,14
625,Miles Boykin,70,40,527,7,406,958.3,97,2
